category,location_name,post_name,requirement,responsibility,update_time
Technology,Shenzhen,PCG19-腾讯视频后台架构专家 （深圳）,"计算机或相关专业本科以上学历，5年以上后台架构相关经验，主导过大型分布式系统设计并成功上线运营；
精通C++、Go和Python语言，具备高质量编码能力
熟悉流媒体协议和音视频编解码技术；
有良好的逻辑思维能力和数据分析能力，善于分析和解决问题；
有良好的沟通能力、团队协作能力和抗压能力，充满责任感和创新意识。","负责腾讯视频技术中台项目架构设计工作，负责建设PCG点播和直播音视频处理中台；
负责腾讯视频流媒体技术演进规划和实施，为业务提供灵活可靠的技术支撑；
负责腾讯视频流媒体技术难点的攻关和预研
","February 27,2021"
Technology,Chengdu,15575-《王者荣耀》研发效率优化工程师（成都）,"本科及以上学历，计算机相关专业，具备2年以上工作经验；
熟悉开发流程，参与过自动化管线建设，有构建-归档-发布过程自动化工具开发经验；
熟悉svn，P4，git等管理工具，掌握python，shell等脚本语言，能熟练编写脚本扩展工具与实现业务需求；
有一定的服务器和网络相关知识，能解决工具和开发者遇到的版本相关技术问题；
具备良好的沟通能力，参与过大型项目，涉及跨团队协作类项目的尤佳；
了解团队协作中的常见问题、痛点，有能力和毅力推动流程和方法的进步。","设计和实现项目资产管理方案，通过版本脚本工具、流程、规范、开发模式等手段解决项目并行开发诉求；
搭建版本管理工具和需求、QA等项目管理工具的关联，搭建和改进版本的构建、测试、发布自动化能力；
分析理解项目开发中不同部门在版本管理及流程上的痛点，和项目一起寻找更高效的开发方法。","February 28,2021"
Technology,Shenzhen,25923-蓝鲸平台运维工程师（深圳）,"本科以上学历，计算机软件或相关专业；
3年以上Linux操作系统运维经验，具备海量服务器运维经验；
熟练使用Bash、Python等脚本语言编程；
熟悉Docker容器集群管理的优先；
熟悉存储系统（mysql、es、ceph等）运维的优先；
熟悉常用公用组件（lvs、etcd、zk、redis等）运维的优先；
具有良好的沟通能力、学习能力、问题分析与解决能力；
具有高度的责任心和团队合作精神。","负责蓝鲸各产品的发布变更、故障处理等日常运维工作；
负责自动化运维能力的设计、开发和优化，及监控体系的建设；
负责各产品的架构评审优化、容量规划、成本优化等工作；
负责各产品公共组件（etcd、zk、redis等）服务的规划及运维工作；
深入理解各产品的架构， 解决故障隐患及性能瓶颈。","February 27,2021"
Technology,Shenzhen,25925-NLP算法工程师（深圳）,"自然语言处理、模式识别或机器学习相关专业硕士以上学历；
熟悉NLP领域的理论基础，掌握统计模型、机器学习相关原理，具有NLP实战经验，参与过相关项目，有海量数据挖掘、文本分类与语义分析、知识图谱构建、深度学习研发经验优先；
熟悉一些开源的算法库或工具，比如：StanfordNLP，NLTK，Apache OpenNLP，Kaldi, HTK/HTS，Hadoop等，精通C/C++、Python等至少一门语言；
具有良好的团队合作精神和高度的责任心。","负责文本分析中的文本分类、情感分析、话题分析、话题摘要、观点识别、语义理解等NLP业务场景； 
负责系统知识图谱构建的工作，从半结构化或无结构数据上构建知识图谱；
负责NLP领域前沿算法及框架追踪，探索基于深度学习和大数据的NLP应用；
组织团队人员的培训、技术指导以及技术难点突破工作。","February 27,2021"
Technology,Guangzhou,WXG07-邮件反垃圾算法工程师,"""计算机、信息科学或数学相关专业硕士及以上学历；
熟练掌握NLP基础理论和算法，在一个或多个领域（如文本分类、语义理解、文本聚类等）能够独立开展研发工作；
熟练掌握一门编程语言（C++/Python/Java等），了解常用的数据结构和算法；
熟悉Tensorflow / Pytorch等机器学习算法框架；
具备分布式平台数据处理经验；
良好的逻辑思维、业务理解能力和沟通能力；""",负责自然语言处理及机器学习的算法研发以及在邮件反垃圾场景的落地；	,"February 27,2021"
Technology,Shenzhen,TEG02-网络控制器测试工程师,"大学本科或以上学历，计算机相关专业； 
3年以上网络系统测试工作经验，熟悉ODL平台，熟悉软件测试、系统测试流程及相关工具，需要有较强的质量意识和客户服务意识； 
熟悉IP网络系统原理，具备IP网络控制器或网管测试经验优先；
熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如Python，shell，TCL等），能编写自动化测试程序；
对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；
有良好的计划、沟通、组织协调能力、语言表达能力；较强的逻辑分析能力和应变能力；良好的团队合作精神； 
","负责网络控制系统的测试，包括制定测试方案和计划，搭建测试环境、编写测试用例、执行系统测试、输出测试报告等；
负责网络控制系统测试规范、测试流程的建设和优化、培养网络控制系统测试人员；
负责测试网络控制系统缺陷并协助分析、定位问题，及时合理解决问题，保证产品质量和研发进度；
负责支撑网络控制系统现网版本发布，及问题定位解决；
负责新技术方案验证，评估其可行性、稳定性；
","February 28,2021"
Technology,Shenzhen,PCG19-腾讯视频音视频后台开发leader（深圳）,"计算机或相关专业本科以上学历，5年以上后台架构相关经验，主导过大型分布式系统设计并成功上线运营；
精通C++、Go和Python语言，具备高质量编码能力
熟悉流媒体协议和音视频编解码技术；
有良好的逻辑思维能力和数据分析能力，善于分析和解决问题；
具备2年以上的管理经验，有良好的沟通能力、团队协作能力和抗压能力，充满责任感和创新意识。","负责腾讯视频技术中台项目架构设计工作，负责建设PCG点播和直播音视频处理中台；
负责腾讯视频流媒体技术演进规划和实施，为业务提供灵活可靠的技术支撑；
负责腾讯视频流媒体技术难点的预研、攻关和业务落地","February 27,2021"
Technology,Shanghai,CSIG17-腾讯云SaaS产品高级测试开发工程师（上海）,"计算机相关专业本科及以上学历，3年以上的软件测试开发经验； 
对操作系统、计算机网络和数据库等有较深入的理解和实践；
熟练掌握和运用Python/C/C++/Java/Go等至少一种编程语言，有相关测试工具平台建设者优先；  
具备扎实的测试基础，能独立负责一个产品或模块的测试工作;
具备良好的团队合作精神、工作责任心和自驱力，具备较高的问题推动解决能力。","负责腾讯云SaaS业务的质量保障工作，包括但不限于接口自动化、性能自动化、稳定性测试等质量保障工作；
结合业务推进CICD的落地，负责研发效能提升工具平台的调研、设计、开发、验证及运营； 
持续探索、引入行业优秀测试技术和理念，帮助团队提升研发质量和效率。","February 28,2021"
Technology,Shenzhen,20052-自然语言理解工程师,"熟练掌握nlp基础理论和算法，在一个或多个领域（如分词、文本分类、语义理解、知识图谱、Query理解、搜索相关性等）能够独立开展研发工作；
熟练掌握C/C++和python语言编程，优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
较强的算法实现能力，熟悉NLP的预训练框架bert，Xlnet，ernie等，熟悉深度学习平台如tensorflow，pytorch等；
有较强的研究能力，如在领域顶级会议如ACL，COLING，SIGIR，EMNLP等发表过高质量论文者优先； 
有较强的代码能力优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上等，或代码开源在github上并有较大影响。","负责pcg中台分词等query理解模块的建设与优化；
负责分词模块在看点与中台上的应用与保障；
负责搜索召回的相关性模块建设；
负责相关业界前沿技术的探索与落地；","February 23,2021"
Technology,Beijing,WXG08-微信NLP系统优化和开发工程师（北京）,"精通C++；熟悉GoLang/Java/Python等一种或多种编程语言；
扎实的数据结构和算法功底；
具备良好的分析解决问题能力，能够合理设计和优化系统方案；
主导过或深度参与过NLP端上系统开发工作，或具备较好的算法工程加速经验，或具有ACM或信息学竞赛经验最佳；
具有相关系统或项目研发经验者最佳。","负责微信NLP应用相关的系统设计与开发工作；
负责针对特定场景的高性能系统/数据结构设计与开发工作；
负责面向移动设备的系统内存、功耗、速度等优化工作。","February 23,2021"
Technology,Shenzhen,20052-自然语言理解工程师," 熟练掌握nlp基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱、Query理解、搜索相关性等）能够独立开展研发工作；
熟练掌握C/C++和python语言编程，优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
较强的算法实现能力，熟悉NLP的预训练框架bert，Xlnet，ernie等，熟悉深度学习平台如tensorflow，pytorch等；
有较强的研究能力，如在领域顶级会议如ACL，COLING，SIGIR，EMNLP等发表过高质量论文者优先； 
有较强的代码能力优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上等，或代码开源在github上并有较大影响。","1、负责腾讯看点的热点内容理解、搜索和内容聚合算法研究，包括但不限于：
图文/微博/搜索query等各种长短文本的理解：基础语义特征，标签提取与分类，事件提取，知识点提取，兴趣点提取等；
2、热点理解与分析：多来源文本的聚合分析，热点发现与分类，热度分级与跟踪，事件表示，事件关系图谱等；
3、内容辅助生产：话题选题，观点与情感分析，相关性匹配，内容自动聚合、结构化等。","February 23,2021"
Technology,Singapore,30934-(Senior) Devops Engineer,"• Preferably a degree in computer science, software engineering, information technology or related fields.
• Experience with cloud computing technologies from vendors such as Amazon Web Services, Microsoft Azure, Google Cloud Platform.
• 5-7 years of relevant experience with managing IT infrastructure with focus on the Unix platforms.
• Possess a solid understanding of the Linux or FreeBSD/OpenBSD family of Operating Systems and their underlying components.
• Possess analytical skills, mental resilience and the ability to think systematically under stressful conditions.
• Highly accountable and takes ownership. Outstanding work ethic, high-integrity, team player, and a lifelong learner.
• Experience in one or more of: C, C++, Java, Perl, Python, Go, or scripting experience in Shell.
• Strong interpersonal skills with the ability to communicate and work effectively across the organization.
• Develop and deliver, documentation and training materials. Perform training about database design modelling as well as operational best practices across the company.
• Bilingual in both English and Chinese.

﻿Nice to Have:
• Multi Cloud orchestration – Terraform, Kubernetes.
• Configuration management tool experiences such as Ansible, Chef, Puppet or Salt Stack.
• Experience with continuous integration and/or continuous deployment.
• Experience with hardening systems and knowledge in information security.
• Contributes to open source project Experience with performance analysis and debugging tools.","• Work on diversified cloud Platforms consisting of Databases and CICD, Logging, and monitoring tools to provide stable, and reliable DevOps service to Tencent’s oversea game studios.
• Everything as a code – automate manual processes and aim to eliminate them.
• Identify and resolve problems relating to critical service operations.
• Be involved in the design and subsequent implementation of software and service infrastructure.
• Mentor other engineers define our technical culture and help build a fast-growing team.","February 23,2021"
Technology,Shenzhen,CSIG14-联邦学习后台开发工程师,"1. 计算机相关专业本科以上学历， 3年以上linux后台开发经验
2. 编程基本功扎实，代码风格良好，精通C++/Java/Go任一门语言，熟悉Python/Shell等任一门脚本语言
3. 精通Linux多线程编程，网络编程，精通Mysql数据库，NoSql存储，掌握Yarn/K8s/容器化相关技术
4. 具备一定的分布式微服务架构能力，熟悉分布式相关组件，有良好的分析解决问题能力
5. 有联邦学习/机器学习，MR/Spark等大数据开发经验者优先
6. 有良好的沟通协作能力，具备服务意识、团队意识，工作中主动积极，善于学习思考，责任心强","1. 负责灵鲲普惠金融产品的后台架构设计、开发及持续优化
2. 负责腾讯联邦学习产品的后台架构设计、开发及持续优化
3. 提升相关系统运营，提升易用性、可用性、稳定性，助力业务更好的发展
","February 23,2021"
Technology,Shenzhen,26699-高级运维开发工程师（深圳）,"1、3年以上运维开发及运维平台建设经验，能独立承担运维平台相关功能的开发；
2、精通Golang/Python至少一门语言，熟悉Django和前端Vue框架；
3、熟悉多种开源组件：Nginx、tomcat、Redis、Jekins、Mysql/SQL等；熟悉Docker、K8S、ELK等原理，有虚拟化实际应用经验者优先；
4、有运维相关流程、工具建设的能力，具备识别共性/重复性问题并转化为开发需求，实现通用性的运维平台或服务的能力
","1、	负责智慧零售技术中台的运维管理平台和自动化工具的开发工作；
2、	负责智慧零售技术中台的技术架构优化；
3、	参与技术运营规划、自动运维开发和运维体系建设；
4、	参与持续交付建设，缩短从代码提交到生产环境部署的时间周期
","February 23,2021"
Technology,Shenzhen,26699-业务运维工程师(DBA方向) (深圳),"1、具有3年以上互联网系统或业务运维经验，1年以上DBA经验，熟悉Go/Java/Python至少一门语言；
2、精通MySQL，Redis等数据库配置、备份、优化、监控及故障诊断；
3、熟练运维nginx、Redis、tomcat、ldap、cdn、MySQL等组件，有一定的虚拟化经验（docker、k8s）更佳；
4、能独立解决项目过程中出现的问题，具体有良好的客户服务意识，善于总结和编写文档；
5、高度的责任心，良好的沟通技巧和团队合作意识
","1、	负责智慧零售技术中台数据库的运维管理和优化工作；
2、	负责智慧零售技术中台的数据库备份、归档、高可用、容灾方案规划和实施；
3、	负责智慧零售数据库管规范的制定和实施
","February 23,2021"
Technology,Beijing,WXG08-微信NLP应用后台系统工程师（北京）,"精通C++；熟悉GoLang/Java/Python等一种或多种编程语言；
扎实的系统开发和数据结构功底；
良好的问题分析与解决能力；
主导过或深度参与过NLP系统开发工作，或具备较好的算法工程加速经验，或具有ACM或信息学竞赛经验最佳；
具有相关系统或项目研发经验者优先。","负责微信NLP应用相关功能的后台系统设计与开发工作；
负责针对特定场景的高性能数据结构设计与开发工作；
负责后台相关算法和模型的加速工作。","February 23,2021"
Technology,Shenzhen,28603-微信支付客户及营销前端开发工程师,"1.学历基础：计算机或者相关专业本科以上学历，扎实的软件开发基础；
2.前端技能：精通HTML及CSS,包括HTML5及CSS3；精通Javascript,包括基本对象及操作、DOM操作、事件、Ajax、错误处理、兼容性、ES5/6等内容；
3.工程能力：熟悉Web前端组件化/模块化开发模式和前端工程化实践; 熟练掌握至少一种MVVM框架的原理和使用，不限于vue；
4.优先条件：熟悉一门后端语言(如PHP/Python等)，或有大数据、BI、增长相关经验，或精通小程序开发，或前端可视化渲染数据经验；
5.综合能力：善于沟通，工作积极主动，责任心强，具备良好的团队协作能力；有较强学习能力和逻辑思维能力，具备良好的问题分析与解决能力。","以持续打造高安全，高稳定，高业务扩展性的国民工具微信支付为目标，参与建设5个9可用性的金融级海量支付平台，负责支付过程中营销资金相关的建设与优化。
完善微信支付的营销工具基础能力，帮助商户更好的使用营销工具进行智慧经营；
为月活12亿的微信用户提供极致体验，丰富微信卡券等业务场景，与合作方在智慧经营上深度结合落地整合营销方案。","February 23,2021"
Technology,Shenzhen,40833-监控平台SRE,"1. 计算机或相关专业毕业，本科及以上学历；
2. 2年以上工作经验，精通Linux操作系统，了解RESTFUL，RPC，能熟练利用python/shell/GO语言实现DEVOPS相关需求；
3. 熟悉TCP/IP、HTTP等协议，有扎实的网络、存储、安全、计算机体系结构方面的知识；
4. 熟悉ES，Kafka，Apache Druid等开源组件的实现，实践和优化，了解其基本原理，有源码阅读理解或经验优先；
5. 熟悉Hadoop大数据体系相关应用，有大数据运维或开发经验优先。","1. 负责监控平台的日常运维工作并持续调优；
2. 通过工具建设提升平台运营效能和质量；
3. 从业务层面整体规划架构选型并实现；
4. 持续提升平台运营效率和质量，降低运营成本。","February 23,2021"
Technology,Shenzhen,40833-运营开发工程师,"1. 计算机或相关专业毕业，本科及以上学历；
2. 2年以上工作经验，精通Linux操作系统，能熟练利用python/shell/GO语言实现DEVOPS相关功能；
3. 熟悉TCP/IP、HTTP等协议，有扎实的网络、存储、安全、计算机体系结构方面的知识；
4. 熟悉ES，Kafka，Apache Druid等开源组件的实现、实践和优化，了解其基本原理；
5. 熟悉Hadoop大数据体系相关应用，有大数据运维或开发经验优先。","职责：
1. 负责监控平台和OLAP平台的日常运维工作并持续调优；
2. 负责监控平台运营功能开发和优化；
3. 从业务层面整体规划架构选型并实现；
4. 持续提升平台运营效率和质量，降低运营成本。","February 23,2021"
Technology,Shenzhen,22989-经营平台后台开发,"计算机及计算机相关专业本科以上学历;
1、3年以上Unix/Linux操作系统下C/C++、PHP或python开发经验;
2、对算法/数据结构有深刻理解，有过大规模软件研发经验，精通性能调优各种方法;
3、精通Unix/Linux操作系统，熟悉网络编程，熟悉常用架构设计；熟悉Mysql及开源No-SQL存储;
4、有强烈的上进心和求知欲，善于学习新事物;
5、思路清晰，具有优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情,团队合作意识, 能主动承担，乐于分享；
6、熟悉互联网服务及运营系统的开发者优先。  
通过腾讯云技术认证或同等资格认证的优先录取。","1、负责腾讯云经营系统的后台架构的设计、开发与优化；
2、熟悉经营系统理念、常用方案；
3、负责现有系统的设计、实现和优化；","February 23,2021"
Technology,Beijing,20052-搜索算法工程师（北京/深圳）,"[岗位要求]
1. 有搜索引擎、推荐系统或广告系统相关算法工作经验；
2. 熟悉机器学习/数据挖掘/信息检索/深度学习/神经网络的算法原理；
3. 熟悉自然语言处理的常见算法原理，有文本相似度计算或语义相似度计算经验者优先；
4. 熟悉LR/GBDT/DNN等排序算法以及BERT/DSSM等深度模型，有TensorFlow等框架开发经验者优先； 
5. 熟悉C++、python、scala、Java等编程语言（一项或多项）； 
6. 熟悉MapReduce、Spark等并行计算框架；","[岗位名称] 腾讯PCG大搜团队
[职级需求] T8-T12 
[团队介绍]：
l  亿级日活搜索业务的核心算法团队，负责复杂场景下的相关性计算。
l  团队200+人，base深圳&北京
[业务场景]：
| 综合搜索（QQ浏览器看点搜索、手机QQ搜索）;
| 垂类搜索（资讯垂搜、短视频垂搜、小程序垂搜、账号垂搜、小说垂搜等）; 
| 搜索中台支持（腾讯视频、腾讯新闻、小鹅拼拼等）;
[岗位职责]
l  负责相关性方向技术建设，具体有：
l  - 搜索query理解，切词，词权，紧密度，改写，纠错，意图分类和槽位识别
|  - 负责doc理解，建设近线/离线资源的相关性特征
l  - 相关性模型的建设，提升搜索质量；负责语义表达模型的应用和优化的持续建设
l  - 负责垂类的业务相关性优化，和阿拉丁卡的效果和技术优化","February 23,2021"
Technology,Shenzhen,PCG19-腾讯视频搜索引擎研发工程师（深圳）,"熟练掌握C/C++编程，熟悉Linux平台下的开发调试，熟悉python/shell等脚本语言；
熟练掌握常用数据结构算法和设计模式，有分布式架构经验者优先；
熟悉分布式系统的设计和应用，有海量服务相关经验者优先；
具备搜索引擎相关开发经验，熟悉搜索引擎核心模块的架构和实现；
具备良好的程序员职业素养，爱学习，追求开发高质量的代码；
具备良好沟通能力和团队意识，具有产品意识和创造力，能承担工作压力，有责任心。","负责PCG搜索中台和腾讯视频搜索的后台研发工作，针对海量索引数据、查询等场景，进行索引内核的召回性能与效果调优；
负责开发搜索中台通用化基础召回组件，包括：检索内核、分布式检索引擎、检索平台、联想词召回等；","February 23,2021"
Technology,Beijing,36812-新闻算法工程师-内容理解与搜索（腾讯新闻）,"1.熟练掌握nlp基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱、Query理解、搜索相关性等）能够独立开展研发工作；
2.熟练掌握C/C++和python语言编程，优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
3.较强的算法实现能力，熟悉NLP的预训练框架bert，Xlnet，ernie等，熟悉深度学习平台如tensorflow，pytorch，caffe等；
4.有较强的研究能力，如在领域顶级会议如ACL，COLING，SIGIR，EMNLP等发表过高质量论文者优先； 
5.有较强的代码能力优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上等；或代码开源在github上并有较大影响；",负责腾讯新闻的热点内容理解、搜索和内容聚合算法研究，包括但不限于：（1）图文/微博/搜索query等各种长短文本的理解：基础语义特征，事件提取，知识点与兴趣点提取，query改写，query意图分析等；（2）热点理解与分析：多来源文本的聚合分析，热点发现与分类，热度分级与跟踪，事件表示，事件粒度与关系等；（3）内容聚合生产：话题选题，观点与情感分析，相关性匹配，内容聚合与结构化等。,"February 23,2021"
Technology,Chengdu,22989-腾讯云数据库Web前端高级开发工程师,"• 计算机相关专业本科及以上学历，3年以上前端开发经验；
• 熟练运用HTML，CSS，ES6+，TypeScript，React，Webpack等前端开发技术；
• 掌握至少一门服务器端编程语言（NodeJS/PHP/Python/Java等）；
• 熟悉网络协议原理及相关知识，对性能优化、常见web安全原理有深入的理解；
• 熟悉一种及以上数据库者优先（MySQL/Redis/MongoDB等）；
• 具有高度的责任心，积极主动，敢于迎接挑战；
","• 负责腾讯云数据库相关的控制台、SaaS、小程序与H5的开发与维护；
• 负责系统架构、开发框架和开发工具的建设与优化；
• 负责系统优化，包括但不限于：业务流程、交互、稳定性、性能、安全等；

","February 23,2021"
Technology,Shenzhen,29912-微视增长iOS开发工程师,"1、2年以上iOS客户端开发经验；扎实的计算机科学基础，熟悉常见的数据结构和算法。
2、精通iPhone SDK，熟练掌握XCode等开发工具，熟练使用Git等工具；精通Object C或Swift开发语言，精通多线程以及网络编程； 
3、有良好的编程习惯，代码结构清晰；  
4、具备音视频相关项目经验或OpenGL/Metal等图像处理技术相关经验优先
5、良好的数据思维，重数据驱动，有数据分析背景优先，掌握SQL/Tableau/R/Python等尤佳；
6、有能力经验做全栈尤佳；
7、熟悉增长黑客(Growth Hacking)，或对此有强烈兴趣者优先；
","1、负责以用户增长为导向的短视频项目产品研发； 
2、和产品经理配合,深度参与短视频产品需求讨论，功能定义等，强数据驱动；
3、负责高质量的技术设计和编码，设计良好的代码结构，不断迭代重构；
4、进行技术预研，将新技术落地到产品，进行技术分享；
","February 20,2021"
Technology,Shenzhen,15605-日本动漫IP手游服务器开发工程师（深圳）,"计算机相关专业，1年以上网游或互联网后台研发经验； 

熟练使用C/C++或Go，熟悉至少一种脚本语言（Python、Lua等），有很强的代码阅读、分析和设计能力； 

有系统、成熟的架构思维，软件工程思维，运营意识； 

优秀的问题分析、解决能力，较强的沟通、协作能力，自我激励和追求卓越；

热爱游戏行业，热衷于为玩家创造高品质游戏体验； 


","和项目团队紧密合作，为游戏产品提供行业先进的技术解决方案，以丰富游戏产品内容，提升游戏品质；

参与或主导健壮、灵活、实用的游戏后台解决方案，改进游戏后台服务性能、提高服务质量、提升研发

效能。目前我们正结合容器化、cloud native和微服务等理念，打造面向云化未来的游戏服务化平台解决方案。
我们的团队：致力于探索行业先进的技术解决方案，为玩家打造高品质的游戏体验。我们研发并运营

着国内最成功的格斗手游,《火影忍者手游》，同时也正在开发全新的顶级日漫IP手游。我们是工程

师、程序员、游戏爱好者，我们在快节奏的敏捷项目中相互支持、迎接挑战、共同学习，在云化、

DevOps和游戏精品化的浪潮中快速成长。期待优秀的你加入!","February 20,2021"
Product,Shenzhen,37254-高级数据分析师（Senior Data Analyst）,"1. 3年以上数据挖掘、互联网爬虫或数据科学家相关工作经验，数学/统计/计算机或相关专业本科或者硕士研究生毕业者优先； 
2. 游戏或互联网行业从业经验，有较为丰富的、多品类的游戏经验，对游戏市场及用户有广泛的了解和一定研究；
3. 有扎实的SQL、Python、Dashbaord等数据分析和爬虫、抓包相关经验，掌握至少一门计算机语言，对数据挖掘常见的算法和方法熟悉，掌握一定的JS前端加密混淆的破解经验和各类抓包工具的使用经验；
4. 自我驱动力强，优秀的逻辑和表达沟通能力，热爱游戏行业，并愿意为之全情投入；","1. 负责分析以及挖掘全球游戏用户行为数据，分析全球趋势和潜在机会；
2. 负责建立系统化的游戏用户数据相关分析体系，输出分析报告；
3. 帮助强化部门数据能力，包括提高部门外部数据的爬虫和捕捉能力，建立基于市场数据和趋势的自动化报表等；
","February 20,2021"
Technology,Shenzhen,34471-电商智能系统后台开发工程师,"1. 本科及以上学历，计算机科学与技术相关专业，从事后台开发2年及以上工作经验；
2. 熟悉Unix/Linux操作系统，精通Java，C++，go等任一门语言，熟悉面向对象开发方法；
3. 精通TCP/IP协议相关知识，精通网络编程，精通HTTP等网络应用协议，精通多线程多进程开发；
4. 熟悉MYSQL/NoSQL的开发，熟悉至少一种脚本语言，如shell、python等；
5. 对高性能并发服务有深入理解；对海量后台服务的性能优化、容灾容错有一定的经验；
6. 熟悉常见大数据基础组件的使用/原理/调优者优先，如Flume/Kafka/Hadoop/Hbase/Spark/Storm/ELK/ETL/kafka/Hive等；
7. 有中台系统建设或大型分布式项目经验者优先；
8. 具备良好的学习能力和分析解决问题能力，责任心强；","1. 负责小鹅拼拼业务技术架构设计，提供基于性能、稳定、扩展、安全等方面规划技术架构，并驱动落地；
2. 负责攻克高并发、高稳定性，业务模型复杂等带来的各种挑战及技术难关；
3. 为团队引入创新的技术、创新的解决方案；","February 20,2021"
Technology,Chengdu,WXG10-企业微信数据分析师（成都）,"3年以上数据分析相关岗位的工作经验，对贴紧业务做分析有浓厚兴趣； 
对数据敏感，理解业务，善于拆解数据、洞察问题、发掘空间；
熟练使用SQL/Hive等语句，具备Hadoop/Spark等海量数据处理经验； 
熟练使用Python/R等数据工具，具备应用机器学习算法进行业务建模的经验； 
逻辑和分析能力强，有自驱力和责任心。","负责企业微信业务的数据相关工作； 
监控大盘与竞品数据和波动，分析原因，洞察空间；
基于业务理解，支持产品、行业、运营业务线的核心策略分析，评估健康度，指导业务决策； 
负责专项分析，通过算法优化，实现用户增长或产品体验优化； ","February 20,2021"
Technology,Shenzhen,PCG19-计算机视觉高级工程师（深圳）,"1. 熟悉图像处理技术，尤其是CV子领域，例如特征检测、图像拼接、3D建模等
2. 熟悉图像、视频相关主流深度学习模型，并有相关应用经验
3. 具备较强的工程能力，熟练使用python、c/c++、多线程等编程相关技术
4. 熟悉opencv、matlab等图像处理工具，并有丰富使用经验者优先
5. 熟悉tensorflow、pytorch、caffe、mxnet等框架至少一种者优先
6. 有顶级会议（ICCV、ECCV、CVPR等）或杂志论文者优先
7. 具备较强学习能力，以及良好的团队沟通能力 ","1. 负责腾讯视频创新类应用研发，包括但不限于3D、VR、AR、自由视点、图像类应用、视频类应用、AI类应用
2. 负责腾讯视频用户体验提升，包括但不限于新形式的交互方式、广告形式、展示形态等
3. 负责图像/视频相关新应用/新技术跟进及研发
4. 负责相关技术的产品化推进及落地
5. 负责相关产品的迭代优化及维护","February 20,2021"
Product,Beijing,17759-腾讯视频用户增长产品经理,"本科以上学历，3年以上增长产品工作经验； 
熟悉增长裂变相关的活动设计，有社交、社区、视频等领域工作经验者优先； 
数据分析能力优秀，善于用数据驱动产品优化升级，掌握SQL/Tableau/Python 等分析工具尤佳； 
能快速理解业务，发掘业务细节和数据之间的联系；
思维活跃、逻辑清晰并善于沟通，关注从创意到执行的全过程。","负责腾讯视频用户增长，通过社交裂变、内容分享、活动设计等手段提升用户指标； 
与设计、开发人员高效合作，从活动策划到推动开发上线中起到关键角色，对增长目标负责； 
与运营、市场人员紧密配合， 推动增长策略实施，发现助力业务拓展的机会点； 
数据驱动，参与目标的制定与拆分，对所负责的项目进行数据跟踪与数据分析，并结合用户研究及竞品调研，找到对应的提升方案。","February 20,2021"
Technology,Shenzhen,20354-安全策略研究员,"本科以上学历，具备3年以上安全大数据分析经验；
熟悉安全基础知识，有安全攻防、入侵策略分析、策略运营优化相关经验；
熟悉Splunk、Spark等分布式计算平台，具备扎实的数据结构和算法功底，可应用到安全分析工作中；
熟悉或掌握至少一门编程语言：C、C++、Java、python、Golang、有Linux下工作经验。
有较强的分析和解决问题能力，较强的工作激情和团队协作能力；","1、负责从事对腾讯云大数据在安全领域内的研究和分析工作；
2、负责安全领域模型的建设，识别安全事件、分析趋势，并推动安全风险收敛；
3、在安全大数据平台上，负责安全事件策略分析、运营、数据模型设计，验证和优化，为安全运营提供决策支撑。
4、对业界前沿的机器学习/深度学习算法以及安全领域内的前沿知识有一定了解，并将其应用到工作中，帮助提升安全业务效率；","February 18,2021"
Technology,Chengdu,WXG10-152 企业微信系统测试工程师（成都）,计算机相关专业，本科以上学历，有2年以上专项技术测试或测试开发经验者优先； 熟悉主流的自动化测试框架和方法，熟练使用相关测试工具； 熟悉HTTP/TCP/SMTP/IMAP等网络协议 至少精通Python、C/C++、Java等其中1门语言； 具备较强的沟通推动能力、项目管理与风险把控能力； 热爱软件测试，能承受较强的工作压力。,负责企业微信产品测试； 设计专项及系统测试方案，跟进项目测试过程，保证版本发布质量； 协助团队提升测试效率与质量。,"February 20,2021"
