category,location_name,post_name,requirement,responsibility,update_time
Technology,Shenzhen,TME-高级大数据平台研发工程师,"计算机、数学、统计相关专业本科以上学历，5年以上相关工作经验；
精通开源大数据技术栈，精通Hadoop/Spark/Flink/ClickHouse/K8S等框架，对性能调优有过经验，有大数据开源社区开发经验者优先；
能够基于大数据生态构建提出切实可行的项目方案，并有能力维护中大型数据项目，有扎实的编程能力和坚实的工程能力，熟悉python/java/web开发；
具备强烈的技术热情和良好的学习能力、出色的问题分析解决能力，善于合作、乐于分享、责任心强。
","负责腾讯音乐大数据平台实时OLAP计算平台架构设计和开发，提供高效稳定安全的实时/机器学习计算平台；
负责数据全链路质量平台建设，加速数据生产效率，推进数据规范和数据治理；
通过梳理和抽象，跟进大数据前沿技术的发展，沉淀通用性平台或服务能力；

","January 31,2021"
Technology,Shenzhen,TME-全民k歌国际版后台开发组长,"- 计算机相关专业本科学历以上，硕士优先
- 5年以上互联网软件开发经验，有实际团队管理经验优先
- 对微服务设计、分布式系统等有较深入理解和三年以上大型项目实践经验
- 熟悉高并发、海量数据的在线处理和离线计算的常见处理方案，并有大型项目相关实践
- 熟悉多种常见数据存储系统如MySQL/Redis/Elasticasearch/Mongodb/Postgresql或其它，并能在实际项目中合理选型
- 熟悉业务中台设计，K8S原理和使用，微服务或Service Mesh等架构设计理念，有实践项目经验优先
- 对以下至少两种语言有3年以上实践经验：Golang/C++/Java/Python
- 具有出色代码开发设计能力，熟悉常见设计模式并能在日常开发中合理选用，具备大型项目代码重构经验者优先
- 良好的团队协作能力，能够独立实现并推动从技术原型开发到业务产品落地的全流程","- 负责基于云原生的微服务架构，业务框架，基础组件的设计、研发和优化工作
- 负责协同多团队推进互联网后台开发CI/CD完善，研发流程优化，效率提升等工作
- 负责设计并实现海量服务的高可用解决方案； 负责Linux下后台服务设计和开发，兼顾高性能、高可靠、低成本
- 负责制定执行现有架构微服务升级方案，保证服务平滑、稳定迁移","December 28,2020"
Technology,Shenzhen,TME-QQ音乐-算法后台高级工程师,"1. 熟悉Linux系统，精通C++/Go中任一编程语言，熟练掌握python脚本语言者优先； 
2. 熟悉各类常用数据结构和相关算法，熟悉Linux下问题定位/系统调优的工具；
3. 熟悉分布式系统的设计和应用，熟悉分布式缓存、消息等机制，并能合理应用分布式技术；
4. 具备全面的软件知识结构（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；
5. 具备良好的沟通表达能力及团队协作精神、有较强的主动性、责任心和执行能力；
6. 具备良好的分析解决问题能力，责任心强，能独立承担任务和有系统进度把控能力；
优先考虑：
7. 熟悉分布式机器学习/深度学习框架相关技术优先：TensorFlow，Caffe，MxNet等； 
8.有推荐后台或者算法后台产品开发相关经验","1. 负责推荐相关产品策略的系统研发，实验以及线上数据效果分析；
2. 负责推荐相关技术的持续优化，机器学习算法及工程应用性能优化; 
3. 负责内容价值评估与流量分发的技术架构实现，以及效果评估。

","January 04,2021"
Technology,Shenzhen,TME-QQ音乐数据科学家 - 内容理解和策略分析,"1、计算机、统计学、数学等相关专业，熟悉常用数据统计和分析方法，以及abtest实验等；
2、熟练使用sql、python编程，熟悉spark/hadoop/Hbase/es等大数据处理框架；
3、良好的沟通能力、团队合作精神、工作规划能力和主动意识，能够独立完成数据分析项目并落地；
4、两年以上工作经验，有内容理解、内容挖掘和流量分发等相关数据工作经验者优先","1、负责QQ音乐内容相关的理解、分析和挖掘，通过数据模型来驱动产品决策；
2、结合平台的海量用户行为特征，AI预测技术等，对内容进行深入的价值评估和挖掘；
3、和内容，产品，推荐等团队紧密合作，来推动集团重点内容的分析和宣发；
4、通过A/B Test等工具来实现和落地高效的内容-流量分发机制。","February 01,2021"
Technology,Shenzhen,18425-海外微信钱包后台开发,"计算机相关专业本科以上学历， 2年以上linux后台开发经验；
编程基本功扎实，精通C/C++，熟悉python等任一门脚本语言；
代码风格良好，熟悉面向对象程序设计，熟悉常见的设计模式；
精通mysql数据库及相关编程；
精通linux环境和系统编程，熟悉服务器编程模型；
工作态度积极，善于主动学习思考，责任心强，对技术有强烈兴趣；
思路严谨，具备良好的分析解决问题能力，能独立承担任务；
有良好的沟通协作能力、抗压能力，有强烈的主人翁意识推进项目进展;
具备一定架构能力，有大容量、高性能、分布式系统的设计开发经验优先；
具备互联网金融、电商业务相关经验优先。","负责海外微信钱包基础交易系统的技术设计和开发；
负责海外微信钱包商户相关系统的技术设计和开发；
负责海外微信钱包行业应用场景的技术设计和开发。
","August 18,2020"
Technology,Shenzhen,25924-Senior Game DevOps Engineer(LA),"
Qualification:
5+ years of experience in Internet industry and server maintenance, experience with large-scale website operation and maintenance is preferred; 
Familiar with linux/Unix system management, and possess a solid understanding of system performance;
Proficient in bash, able to use perl/python scripting language for simple programming;
Proficient in http protocol, familiar with network knowledge and tcp/ip protocol;
Possess a solid understanding of server hardware knowledge, experience wih architecture is preferred;
Strong communication and self-motivated skills, and possess a good sense of service;
Proficient in Chinese and English. ""","Responsibility：
Participate in the design, review, and optimization of all Tencent game website systems and the architecture of each application system;
Responsible for deployment of the game website, the release of related systems, and server changes;
Monitoring the operating status of the game website, handling the failures in the operation of the game website, and ensuring the normal operation of the game website;
Responsible for the application and scrolling of the equipment and budget of the game website, analyze the development trend of the game website, and plan the resources required for operation;
Communicating with the target service team, accepting and handling the proposed operation and maintenance requirements.

","August 17,2020"
Technology,Shenzhen,25928-游戏后台引擎开发高级工程师,"精通C++ 语言，掌握Python/Lua等语言更优，具备Linux、Windows 跨平台开发能力；
具备游戏开发经验，至少具备一款游戏引擎使用经验，熟悉碰撞检测与寻路相关算法；
具备良好的系统设计能力，具备良好文档写作与英文资料阅读能力；
能承受高强度的工作压力，能很快适应新的技术与工作任务。心态开放，善于沟通与合作；
全日制本科及以上学历，计算机相关专业；
期待有志于为复杂游戏逻辑开发建立强大支撑框架与工具的同学加入，为提升产业制作技术水平贡献力量。","设计和实现游戏后端战斗系统框架与开发管线工具，支持开发高性能、丰富的战斗逻辑；
组织或者参与跨团队的合作，解决相关问题。","August 17,2020"
Technology,Beijing,30623-腾讯广告联盟后台功能策略开发高级工程师（北京）,"本科及以上学历，计算机相关专业；
具有扎实的数据结构、算法和软件工程基础；熟练掌握各种设计模式和面向对象设计原则，具备较强的模型抽象能力；
编码风格清晰规范，精通C++或java，熟悉Python、Scala；
具有3年以上后端系统设计和开发经验，有广告、搜索或推荐系统经验优先；
对工作有较强的使命感和责任心，有大规模分布式系统线上运营和运维经验者优先；
有较强的学习能力和逻辑思维能力，具备良好的问题分析与解决能力。
有良好的业务思维，对产品运营创新的开发工作有热情；
善于沟通，工作积极主动，能够独立工作，同时具备复杂环境下良好的团队协作能力；
同时具备Hadoop等大规模分布式开发，或终端前端开发经验优先。有机器学习经验者优先。","负责腾讯联盟广告系统及算法的开发和优化；
负责参与广告产品设计和实现，满足不断涌现的产品运营创新需求；
为流量运营团队设计和提供各类管理优化工具；
基于海量数据做业务洞察分析。","August 18,2020"
Technology,Shenzhen,25924-Senior DevOps Engineer(LA),"Qualification:
3+ years of experience in Internet operation and maintenance or development;
Proficient in linux or unix operating system, including system performance tuning and fault handling;
Familiar with B/S application structure and common software, TCP/IP protocol, and database or storage principle;
Familiar with more than one scripting languages (shell/java/python/golang, etc.);
Familiar with the operation and maintenance of the Hadoop big data ecosystem, including but not limited to HDFS, Spark, Kafka\Pulsar, Storm\Flink, Elasticsearch, etc.;
Good learning ability, with focus on the latest technologies and trends in the industry;
Possess trouble-shooting capabilities, with good technical sensitivity and risk identification capabilities;
Possess strong sense of responsibility, good communication and coordination skills;
Experience in public cloud is preferred, including but not limited to AWS, Azure, etc.;
Proficient in Chinese and English.","Responsibility:
Responsible for improving availability and quality of online services;
Continuously reduce unit operating costs through new technology research and architecture optimization;
Improving product quality by optimizing the infrastructure and designing fault tolerance and remote disaster tolerance solutions;
Fastening users' access to our products through various optimizations of client side, network transmission layer, and server side;
Improving work efficiency by designing and implementating automated operation and maintenance tools;
Responsible for the operation and maintenance of overseas game data services and peripheral platforms.
","August 17,2020"
Technology,Shenzhen,18435-金融科技Java开发高级工程师（深圳）,"1.本科及以上学历，3年以上java语言使用经验；
2.熟悉大型互联网IT架构，熟悉spring boot等java框架的使用和原理；
3.熟悉linux或其他unix操作系统，熟练使用shell/python等脚本语言；
4.熟悉SQL语言，有MySQL/PostgreSQL/Oracle的使用经验；
5.有微服务、docker容器、hadoop大数据系统维护使用经验者优先；
6.有较强的沟通能力，有良好的团队协作精神。",负责根据金融业务需求的开发实现，架构优化。,"August 17,2020"
Technology,Shenzhen,29913-5G开放中台数据挖掘分析师（深圳）,"1、计算机、数学、统计、机器学习、信息科学、运筹学等相关专业硕士以上学历； 
2、3年以上大数据挖掘和建模经验，熟悉分类、回归、聚类、复杂网络挖掘、图算法、文本分析、深度学习等3种以上算法及原理，具备用户分群实践经验尤佳； 
3、熟练使用hadoop、hive、impala、spark、flink等大数据处理计算框架，精通SQL 、Python、Java、scala等中至少2种编程语言； 
4、有较强的数据敏感度，具备海量数据处理经验，能从海量数据提炼核心结果； 
5、有较强的逻辑思维能力、独立思考能力、归纳分析能力，具备良好的沟通能力和团队合作精神； 
6、有互联网行业从业经历者优先","负责腾讯运营商产品相关数据开发工作，不限于数仓建设，数据挖掘、大数据处理、数据分析
1.利用机器学习、文本挖掘等技术挖掘海量用户数据，开展用户特征分析与洞察，建立用户分群模型，挖掘用户不同需求与偏好
2、开展用户价值评估、行为需求、兴趣偏好等研究，构建和优化用户画像体系，并进行检验评价
3.依据业务特性挖掘用户业务属性特征标签，建立用户模型支撑和服务业务，深度应用画像挖掘用户迁徙和交叉销售机会实现精准营销，提升画像标签和算法在业务落地的效果","August 18,2020"
Technology,Shenzhen,18435-金融科技风险模型工程师（深圳）,"统计、数学、金融工程、计算机等专业本科及以上学历，硕士学历以上者优先； 
有丰富的数理统计基础、数据分析经验和数据直觉，有一定的有监督或无监督建模经验； 
熟悉SAS、R、Python、SQL等至少2种编程语言； 
熟悉小微、企业信贷产品的量化风险管理手段，3年以上相关工作经验。",通过支付、工商、税务、发票等数据挖掘企业风险特征，开发企业风控策略和模型，重点关注小微企业的欺诈风险评级、信用评分等风险管理工作。,"August 19,2020"
Technology,Shenzhen,22989-专有云高级后台研发工程师,"1. 三年以上研发经验，熟悉linux、能独立完成后台系统的开发、部署、维护；
2. 熟练掌握bash、python、go等开发语言，对如何用软件工程工具提升研发效率、运维效率和交付质量有实际经验；
3. 了解数据库原理，熟练掌握一种以上数据库，如Mysql、Redis、MongoDB等；
4. 熟悉Docker、Kubernetes平台，对监控、部署、调度等有较好理解;
5. 有OpenStack、K8S等实际使用、开发或运维管理经验者优先；有DevOps产品或自动化运维开发经验优先；具有主导或参与云管平台开发者优先；
6. 具备较强的抗压能力、沟通推动能力和较好的服务意识；善于团队协作、主动思考、自我驱动强；",负责腾讯专有云云平台及云产品的架构设计，研发，优化及维护工作。参与平台基础能力、平台运营能力、平台运维能力等方面的建设,"August 19,2020"
Technology,Shenzhen,TME-搜索排序算法高级工程师,"3年以上搜索引擎、推荐系统或广告排序相关算法工作经验；
熟悉传统排序模型以及深度学习排序模型的原理，应用和优化。有大型搜索或推荐系统的实战经验者优先；
数据结构和算法功底扎实，熟练使用 C/C++，Python，掌握MapReduce, Spark等大数据处理框架；
熟悉常见的机器学习算法以及Tensorflow/PyTorch等主流深度学习框架。
","负责QQ音乐/全民k歌搜索排序算法的研究与应用。
具体工作主要为：
点击模型，CTR预估模型，个性化排序模型的优化 ；
QQ音乐，全民K歌排序特征体系的建设与优化；
基础相关性模型，深度语义匹配模型的优化。
","January 06,2021"
Technology,Guangzhou,WXG01-微信视频号NLP算法高级工程师（广州）,"计算机、信息科学或数学相关专业硕士及以上学历，3年以上工作经验；
熟练掌握NLP基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱、文本聚类等）能够独立开展研发工作；
熟练掌握一门编程语言（C++/Python/Scala/Java等），了解常用的数据结构和算法；熟悉Tensorflow / Pytorch等机器学习算法框架者优先；
具备Hadoop、Spark、ElasticSearch等分布式平台处理经验；
良好的逻辑思维、业务意识和沟通能力；
有新闻推荐或信息流Push项目经验者优先。","负责自然语言处理的算法研发，包括但不限于文本分类、语义相似度计算、新闻热点识别、文本聚类算法等；
负责视频号新闻热点数据流的技术运营。","August 19,2020"
Technology,Shenzhen,32032-资深后台开发工程师（深圳）,"5年以上实际项目中C++开发经验，深刻理解面向对象设计和开发思想；
熟悉设计模式并有丰富的实践经验，熟练使用各种工具（如UML工具）来表达自己的设计思想；
精通主流的Windows或Linux操作系统开发，熟悉跨平台编程的主要原则；
精通分布式系统设计原理，熟悉TCP/IP网络模型，熟悉网络异步通讯；
熟悉Lua/Python一种或以上脚本语言语言；
熟悉数据库设计与SQL语言，熟悉常规DB的使用场景，能够合理运用SQL/NOSQL的不同数据库解决问题；
具备良好的学习能力、沟通能力、适应能力，责任心强，能在高强度大压力下独立解决问题；
","游戏服务器的功能开发和现有系统的持续优化；
负责服务器压力测试和性能优化。

","August 19,2020"
Technology,Guangzhou,WXG01-微信视频号数据挖掘算法工程师（广州）,"计算机、信息科学或数学相关专业硕士及以上学历，2年以上工作经验
熟悉分类、回归、聚类等常见的机器学习算法及原理，具有模型应用和调优的能力；
熟练掌握一门编程语言（C++/Python/Scala/Java等），了解常用的数据结构和算法；熟悉Tensorflow / Pytorch等机器学习算法框架者优先；
具备Hadoop、Spark等平台的海量数据处理经验；
良好的逻辑思维、业务意识和沟通能力；
有推荐系统排序模型经验者优先，有线上服务构建经验者优先。","负责视频号的红点推送模型算法优化；
负责视频号的红点运营策略迭代；
持续优化策略和模型的研发效能提升。","August 19,2020"
Technology,Guangzhou,WXG01-微信视频号内容算法高级工程师（广州）,"计算机、信息科学或数学相关专业硕士及以上学历，3年以上工作经验；
熟练掌握NLP基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱、Query理解、搜索相关性等）能够独立开展研发工作；或者熟悉CV领域如图像分类、特征抽取以及图像语义理解等算法技术；
熟练掌握一门编程语言（C++/Python/Scala/Java等），了解常用的数据结构和算法；熟悉Tensorflow / Pytorch等机器学习算法框架者优先；
具备Hadoop、Spark、ElasticSearch等分布式平台处理经验；熟悉GPU优化训练和预测者优先；
良好的逻辑思维、业务意识和沟通能力；
有推荐系统内容理解项目经验者优先。","负责视频号内容标签的体系建设；
负责视频号内容质量的技术运营；
推进内容理解的中台化建设和技术升级。","August 19,2020"
Technology,Guangzhou,WXG01-微信视频号高级数据分析师-用户增长方向（广州）,"3年以上数据分析或用户增长相关岗位的工作经验；
统计学、应用数学、数据科学、计算机科学等领域硕士及以上学历；
熟练使用SQL/Hive/Python/R语句，具备Hadoop、Spark等平台的海量数据处理经验；
对数据敏感，有系统化分析思维，自我驱动强，能通过数据主动发现问题并解决问题；
关注互联网产品及发展变化，理解互联网业务逻辑；
有短视频产品的用户增长经验者优先。","负责微信视频号业务用户增长相关的数据分析工作；
定义和分析衡量产品成功与否的指标，监控业务健康数据，分析业务发展态势；
搭建产品生态评估，用户行为评估，策略效果评估等，发现并推进增长策略；
以检验假设思维开展A/B Testing实验，验证增长策略有效性；
理解和思考产品细节，基于数据思维和定量分析方法为业务提供决策建议。

","August 19,2020"
Technology,Beijing,36812-NLP算法工程师,"1.熟练掌握nlp基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱、Query理解、搜索相关性等）能够独立开展研发工作；
2.熟练掌握C/C++和python语言编程，优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
3.较强的算法实现能力，熟悉NLP的预训练框架bert，XLnet，ernie等，熟悉深度学习平台如tensorflow，pytorch，caffe等；
4.有较强的研究能力，如在领域顶级会议如ACL，COLING，SIGIR，EMNLP等发表过高质量论文者优先
5.有较强的代码能力优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上等；或代码开源在github上并有较大影响","负责腾讯新闻的NLP算法研究和应用，包括内容理解、热点识别、质量分析、搜索和内容聚合、自动摘要、自动纠错等，支持推荐中台、内容运营中台、搜索技术中台等NLP通用基础技术的沉淀和优化，包括但不限于：
（1）图文/微博/搜索query等各种长短文本的理解：基础语义特征，标签提取与分类，事件提取，知识点提取，兴趣点提取，query改写，query意图分析等；
（2）热点理解与分析：多来源文本的聚合分析，热点发现与分类，热度分级与跟踪，事件表示，事件关系图谱等；
（3）内容辅助生产：话题选题，观点与情感分析，相关性匹配，内容自动聚合、结构化等。","August 19,2020"
