,入会时间,距离最后一次飞机时间,飞行次数,飞行公里数,平均折扣率,特征优势,营销策略,聚类个数
客户群体0,0.046562573,-0.001991131,-0.230142183,-0.234464735,2.1786552,平均折扣率高，距离最后一次飞行时间较长,折扣率高，不怎么打折,4215
群体1,0.483657973,-0.799400212,2.483174903,2.424459453,0.309237966,公里数高，次数多，距离最后一次飞行时间短,VIP,5337
群体2,-0.313368048,1.686691608,-0.573935737,-0.536782673,-0.17460843,距离最后一次飞行时间很长,流失客户,12119
群体3,1.160848619,-0.377377217,-0.086640504,-0.09455513,-0.156599649,入会时间很长，不经常飞,需要进一步挖掘用户价值,15735
群体4,-0.700313344,-0.415035589,-0.160898126,-0.160646112,-0.25672317,入会时间很短，,新客户，大力营销,24638
